mp_id,formula,exp_lattice_a,exp_lattice_b,exp_lattice_c,exp_density,exp_formation_energy,exp_e_above_hull,crystal_system
mp-557210,Cu3NiH6(ClO3)2,6.084,9.2868,6.9704,3.64,-1.1411,0.0,P1
mp-510642,CuNi2(PO4)2,9.5785,4.7305,7.9845,4.1997,-2.0266,0.0041,P2_1/c
mp-30593,ZnCu2Ni,3.5456,3.5456,3.6616,9.0618,-0.1224,0.0051,P4/mmm
mp-1104755,Cu4NiGe2S7,5.3043,6.4245,8.3477,4.4252,-0.5671,0.0135,C2
mp-11834,CuNiSb2,4.0586,4.0586,5.1098,8.3322,-0.1271,0.0143,P-3m1
mp-1079193,TiCuNi2,4.2304,4.4245,5.1798,7.8376,-0.3363,0.0211,Pmmn
mp-557274,Cu4Si2NiS7,6.3437,6.3437,8.1712,4.0064,-0.6729,0.0236,C2
mp-30592,CuNi2Sn,4.2251,4.2251,4.2251,9.3298,-0.1358,0.0348,Fm-3m
mp-30069,CuNi2Sb,4.2269,4.2269,4.2269,9.4127,-0.0741,0.053,Fm-3m
mp-1077341,YbCu4Ni,4.8469,4.8469,4.8469,10.0217,-0.181,0.0576,F-43m
mp-4367,Cu2NiSn,4.2784,4.2784,4.2784,9.1309,0.0416,0.1619,Fm-3m
mp-505611,Sr2Cu2Ni(SO)2,9.7363,9.7363,9.7363,5.4022,-1.5122,0.1798,I4/mmm
mp-1078922,Cu2SiNiS4,4.7889,4.7889,6.1699,4.0263,-0.403,0.2853,Cmmm
